,MSSubClass,MSZoning,LotFrontage,LotArea,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,Foundation,BsmtQual,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageType,GarageFinish,GarageCars,GarageQual,GarageCond,SaleType,SaleCondition,SalePrice,Total_OutdoorSF,Baths,Age,AgeRemodAdd,AgeGarage
0,60,RL,65.0,8450,Reg,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,BrkFace,196.0,4,PConc,4,856,5,1,1710,4,8,0,Attchd,2,2,3,TA,WD,Normal,208500,61,4,5,5,5.0
1,20,RL,80.0,9600,Reg,Lvl,FR2,Veenker,Feedr,1Fam,1Story,6,Gable,MetalSd,MetalSd,None,0.0,3,CBlock,4,1262,5,1,1262,3,6,3,Attchd,2,2,3,TA,WD,Normal,181500,298,3,31,31,31.0
2,60,RL,68.0,11250,IR1,Lvl,Inside,CollgCr,Norm,1Fam,2Story,7,Gable,VinylSd,VinylSd,BrkFace,162.0,4,PConc,4,920,5,1,1786,4,6,3,Attchd,2,2,3,TA,WD,Normal,223500,42,4,7,6,7.0
3,70,RL,60.0,9550,IR1,Lvl,Corner,Crawfor,Norm,1Fam,2Story,7,Gable,Wd Sdng,Wd Shng,None,0.0,3,BrkTil,3,756,4,1,1717,4,7,4,Detchd,1,3,3,TA,WD,Abnorml,140000,307,2,91,36,8.0
4,60,RL,84.0,14260,IR1,Lvl,FR2,NoRidge,Norm,1Fam,2Story,8,Gable,VinylSd,VinylSd,BrkFace,350.0,4,PConc,4,1145,5,1,2198,4,9,3,Attchd,2,3,3,TA,WD,Normal,250000,276,4,8,8,8.0
5,50,RL,85.0,14115,IR1,Lvl,Inside,Mitchel,Norm,1Fam,1.5Fin,5,Gable,VinylSd,VinylSd,None,0.0,3,Wood,4,796,5,1,1362,3,5,0,Attchd,1,2,3,TA,WD,Normal,143000,390,3,16,14,16.0
6,20,RL,75.0,10084,Reg,Lvl,Inside,Somerst,Norm,1Fam,1Story,8,Gable,VinylSd,VinylSd,Stone,186.0,4,PConc,5,1686,5,1,1694,4,7,4,Attchd,2,2,3,TA,WD,Normal,307000,312,3,3,2,3.0
7,60,RL,81.28888888888889,10382,IR1,Lvl,Corner,NWAmes,PosN,1Fam,2Story,7,Gable,HdBoard,HdBoard,Stone,240.0,3,CBlock,4,1107,5,1,2090,3,7,3,Attchd,2,2,3,TA,WD,Normal,200000,667,4,36,36,36.0
8,50,RM,51.0,6120,Reg,Lvl,Inside,OldTown,Artery,1Fam,1.5Fin,7,Gable,BrkFace,Wd Shng,None,0.0,3,BrkTil,3,952,4,1,1774,3,8,3,Detchd,1,2,2,TA,WD,Abnorml,129900,295,2,77,58,77.0
9,190,RL,50.0,7420,Reg,Lvl,Corner,BrkSide,Artery,2fmCon,1.5Unf,5,Gable,MetalSd,MetalSd,None,0.0,3,BrkTil,3,991,5,1,1077,3,5,3,Attchd,2,1,4,TA,WD,Normal,118000,4,2,69,58,69.0
10,20,RL,70.0,11200,Reg,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Hip,HdBoard,HdBoard,None,0.0,3,CBlock,3,1040,5,1,1040,3,5,0,Detchd,1,1,3,TA,WD,Normal,129500,0,2,43,43,43.0
11,60,RL,85.0,11924,IR1,Lvl,Inside,NridgHt,Norm,1Fam,2Story,9,Hip,WdShing,Wd Shng,Stone,286.0,5,PConc,5,1175,5,1,2324,5,11,4,BuiltIn,3,3,3,TA,New,Partial,345000,168,4,1,0,1.0
12,20,RL,74.4375,12968,IR2,Lvl,Inside,Sawyer,Norm,1Fam,1Story,5,Hip,HdBoard,Plywood,None,0.0,3,CBlock,3,912,3,1,912,3,4,0,Detchd,1,1,3,TA,WD,Normal,144000,316,2,46,46,46.0
13,20,RL,91.0,10652,IR1,Lvl,Inside,CollgCr,Norm,1Fam,1Story,7,Gable,VinylSd,VinylSd,Stone,306.0,4,PConc,4,1494,5,1,1494,4,7,4,Attchd,2,3,3,TA,New,Partial,279500,193,2,1,0,1.0
14,20,RL,76.46236559139786,10920,IR1,Lvl,Corner,NAmes,Norm,1Fam,1Story,6,Hip,MetalSd,MetalSd,BrkFace,212.0,3,CBlock,3,1253,3,1,1253,3,5,2,Attchd,2,1,3,TA,WD,Normal,157000,389,3,48,48,48.0
