,MSSubClass,MSZoning,LotShape,LandContour,LotConfig,Neighborhood,Condition1,BldgType,HouseStyle,RoofStyle,Exterior1st,Exterior2nd,MasVnrType,Foundation,GarageType,GarageCond,SaleType,SaleCondition,LotFrontage,LotArea,OverallQual,MasVnrArea,ExterQual,BsmtQual,TotalBsmtSF,HeatingQC,CentralAir,GrLivArea,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageFinish,GarageCars,GarageQual,SalePrice,Total_OutdoorSF,Baths,Age,AgeRemodAdd,AgeGarage
0,5,3,3,3,4,5,2,0,5,1,12,13,1,2,1,5,8,4,65.0,8450,7,196.0,4,4,856,5,1,1710,4,8,0,2,2,3,208500,61,4,5,5,5.0
1,0,3,3,3,2,24,1,0,2,1,8,8,2,1,1,5,8,4,80.0,9600,6,0.0,3,4,1262,5,1,1262,3,6,3,2,2,3,181500,298,3,31,31,31.0
2,5,3,0,3,4,5,2,0,5,1,12,13,1,2,1,5,8,4,68.0,11250,7,162.0,4,4,920,5,1,1786,4,6,3,2,2,3,223500,42,4,7,6,7.0
3,6,3,0,3,0,6,2,0,5,1,13,15,2,0,5,5,8,0,60.0,9550,7,0.0,3,3,756,4,1,1717,4,7,4,1,3,3,140000,307,2,91,36,8.0
4,5,3,0,3,2,15,2,0,5,1,12,13,1,2,1,5,8,4,84.0,14260,8,350.0,4,4,1145,5,1,2198,4,9,3,2,3,3,250000,276,4,8,8,8.0
5,4,3,0,3,4,11,2,0,0,1,12,13,2,5,1,5,8,4,85.0,14115,5,0.0,3,4,796,5,1,1362,3,5,0,1,2,3,143000,390,3,16,14,16.0
6,0,3,3,3,4,21,2,0,2,1,12,13,3,2,1,5,8,4,75.0,10084,8,186.0,4,5,1686,5,1,1694,4,7,4,2,2,3,307000,312,3,3,2,3.0
7,5,3,0,3,0,14,4,0,5,1,6,6,3,1,1,5,8,4,81.28888888888889,10382,7,240.0,3,4,1107,5,1,2090,3,7,3,2,2,3,200000,667,4,36,36,36.0
8,4,4,3,3,4,17,0,0,0,1,3,15,2,0,5,5,8,0,51.0,6120,7,0.0,3,3,952,4,1,1774,3,8,3,1,2,2,129900,295,2,77,58,77.0
9,14,3,3,3,0,3,0,1,1,1,8,8,2,0,1,5,8,4,50.0,7420,5,0.0,3,3,991,5,1,1077,3,5,3,2,1,4,118000,4,2,69,58,69.0
10,0,3,3,3,4,19,2,0,2,3,6,6,2,1,5,5,8,4,70.0,11200,5,0.0,3,3,1040,5,1,1040,3,5,0,1,1,3,129500,0,2,43,43,43.0
11,5,3,0,3,4,16,2,0,5,3,14,15,3,2,3,5,6,5,85.0,11924,9,286.0,5,5,1175,5,1,2324,5,11,4,3,3,3,345000,168,4,1,0,1.0
12,0,3,1,3,4,19,2,0,2,3,6,10,2,1,5,5,8,4,74.4375,12968,5,0.0,3,3,912,3,1,912,3,4,0,1,1,3,144000,316,2,46,46,46.0
