,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,LotConfig,LandSlope,Neighborhood,Condition1,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,TotalBsmtSF,HeatingQC,CentralAir,Electrical,GrLivArea,BedroomAbvGr,KitchenQual,TotRmsAbvGrd,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageArea,GarageQual,PavedDrive,PoolQC,Fence,MiscVal,SaleType,SaleCondition,SalePrice,LogSalePrice,Baths,Total_OutdoorSF
0,60,RL,65.0,8450,1,0.0,Reg,Lvl,IC2,Gtl,CollgCr,Norm,1T,2Story,7,5,2003,2003,Gable,CompShg,VinylSd,VinylSd,BrkFace,196.0,4,3,PConc,4.0,856.0,5,1,2.0,1710,3,4.0,8,0.0,Attchd,2003.0,2.0,548.0,3.0,3,0.0,0.0,0,WD,Normal,208500.0,12.247694320220994,4.0,61
1,20,RL,80.0,9600,1,0.0,Reg,Lvl,IC2,Gtl,Veenker,Feedr,1T,1Story,6,8,1976,1976,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,CBlock,4.0,1262.0,5,1,2.0,1262,3,3.0,6,3.0,Attchd,1976.0,2.0,460.0,3.0,3,0.0,0.0,0,WD,Normal,181500.0,12.109010932687042,3.0,298
2,60,RL,68.0,11250,1,0.0,IR1,Lvl,IC2,Gtl,CollgCr,Norm,1T,2Story,7,5,2001,2002,Gable,CompShg,VinylSd,VinylSd,BrkFace,162.0,4,3,PConc,4.0,920.0,5,1,2.0,1786,3,4.0,6,3.0,Attchd,2001.0,2.0,608.0,3.0,3,0.0,0.0,0,WD,Normal,223500.0,12.31716669303576,4.0,42
3,70,RL,60.0,9550,1,0.0,IR1,Lvl,IC2,Gtl,Crawfor,Norm,1T,2Story,7,5,1915,1970,Gable,CompShg,Wd Sdng,Wd Shng,None,0.0,3,3,BrkTil,3.0,756.0,4,1,2.0,1717,3,4.0,7,4.0,Detchd,1998.0,1.0,642.0,3.0,3,0.0,0.0,0,WD,Abnorml,140000.0,11.84939770159144,2.0,307
4,60,RL,84.0,14260,1,0.0,IR1,Lvl,IC2,Gtl,NoRidge,Norm,1T,2Story,8,5,2000,2000,Gable,CompShg,VinylSd,VinylSd,BrkFace,350.0,4,3,PConc,4.0,1145.0,5,1,2.0,2198,4,4.0,9,3.0,Attchd,2000.0,2.0,836.0,3.0,3,0.0,0.0,0,WD,Normal,250000.0,12.429216196844383,4.0,276
5,50,RL,85.0,14115,1,0.0,IR1,Lvl,IC2,Gtl,Mitchel,Norm,1T,1.5Fin,5,5,1993,1995,Gable,CompShg,VinylSd,VinylSd,None,0.0,3,3,Wood,4.0,796.0,5,1,2.0,1362,1,3.0,5,0.0,Attchd,1993.0,1.0,480.0,3.0,3,0.0,1.0,700,WD,Normal,143000.0,11.870599909242044,3.0,390
6,20,RL,75.0,10084,1,0.0,Reg,Lvl,IC2,Gtl,Somerst,Norm,1T,1Story,8,5,2004,2005,Gable,CompShg,VinylSd,VinylSd,Stone,186.0,4,3,PConc,5.0,1686.0,5,1,2.0,1694,3,4.0,7,4.0,Attchd,2004.0,2.0,636.0,3.0,3,0.0,0.0,0,WD,Normal,307000.0,12.634603026569334,3.0,312
7,60,RL,,10382,1,0.0,IR1,Lvl,IC2,Gtl,NWAmes,PosN,1T,2Story,7,6,1973,1973,Gable,CompShg,HdBoard,HdBoard,Stone,240.0,3,3,CBlock,4.0,1107.0,5,1,2.0,2090,3,3.0,7,3.0,Attchd,1973.0,2.0,484.0,3.0,3,0.0,0.0,350,WD,Normal,200000.0,12.206072645530174,4.0,667
8,50,RM,51.0,6120,1,0.0,Reg,Lvl,IC2,Gtl,OldTown,Artery,1T,1.5Fin,7,5,1931,1950,Gable,CompShg,BrkFace,Wd Shng,None,0.0,3,3,BrkTil,3.0,952.0,4,1,1.0,1774,2,3.0,8,3.0,Detchd,1931.0,1.0,468.0,2.0,3,0.0,0.0,0,WD,Abnorml,129900.0,11.77452020265869,2.0,295
9,190,RL,50.0,7420,1,0.0,Reg,Lvl,IC2,Gtl,BrkSide,Artery,2DT,1.5Unf,5,6,1939,1950,Gable,CompShg,MetalSd,MetalSd,None,0.0,3,3,BrkTil,3.0,991.0,5,1,2.0,1077,2,3.0,5,3.0,Attchd,1939.0,2.0,205.0,4.0,3,0.0,0.0,0,WD,Normal,118000.0,11.678439903447801,2.0,4
